ID,Role,Reference Document Type,If user is the owner,Level,Select,Read,Write,Create,Delete,Submit,Cancel,Amend,Report,Export,Import,Set User Permissions,Share,Print,Email
"""687b7bf80f""",GCH-Doctor,Appointment,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""5f8086d33d""",GCH-Doctor,Healthcare Service Unit,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""fec34aaccc""",GCH-Doctor,Prescription,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
"""93d4070c05""",GCH-Credit Control,Item Group,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"""8d7c45ddf9""",GCH-Credit Control,UOM,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"""5f5590d5e7""",GCH-Credit Control,Insurance Category,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"""8b6adc9ea5""",GCH-TriageNurse,Dosage Form,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""8686be807e""",GCH-TriageNurse,Vaccine Administration,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"""dbf28872cb""",GCH-TriageNurse,Medical Department,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""acc74369c7""",GCH-TriageNurse,Healthcare Settings,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""084a3bef22""",GCH-Reception,Therapy Plan,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""32bff3b780""",GCH-Reception,Clinical Procedure Template,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"""1ca1eba98d""",GCH-Reception,Appointment Type,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""cce20e0cde""",GCH-Reception,Medical Department,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""7c9b9b290a""",GCH-Reception,Healthcare Settings,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""ff945f3595""",GCH-Reception,Wellbaby Schedule,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"""e416de9116""",GCH-Reception,Insurance Category,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"""908ffeb993""",GCH-Reception,Denomination,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"""a84d1daa3a""",GCH-Reception,Workflow State,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"""7fef898ec7""",GCH-Reception,Account,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"""12ac12ddfe""",GCH-Reception,Customer,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""580509916f""",GCH-Doctor,Doctor Prescription,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"""fe54bd0b18""",Employee,Salary Slip,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""7c512ae549""",HR Manager,Salary Slip,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
"""eebe9ecbee""",HR User,Salary Slip,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1
"""8dbf9b85d1""",Employee Self Service,Salary Slip,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
"""9cd49690df""",Employee,Employee,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
"""dde9651a4b""",HR User,Employee,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1
"""a189769f78""",HR Manager,Employee,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
"""7fe82e7a89""",Employee Self Service,Employee,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
"""14ed6007cc""",HR Manager,Expense Claim,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"""32b61341cb""",Expense Approver,Expense Claim,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
"""75c46651da""",HR User,Expense Claim,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
"""1d0c0cea59""",Employee,Expense Claim,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1
"""83840753e5""",Employee Self Service,Expense Claim,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1
"""7d19d17ec6""",HR Manager,Leave Application,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"""cafac83c79""",HR User,Leave Application,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"""3ffd623485""",All,Leave Application,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""d415cf49e2""",HR User,Leave Application,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"""9637b42377""",Leave Approver,Leave Application,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"""3825030bc8""",Employee,Leave Application,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1
"""adec5fb3fe""",Leave Approver,Leave Application,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1
"""100bee5327""",Employee Self Service,Leave Application,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1
"""c10439f2cb""",HR Manager,Attendance Request,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"""ade09ae7cc""",HR User,Attendance Request,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"""cd4fb5e939""",System Manager,Attendance Request,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"""3e35452965""",Employee,Attendance Request,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
"""985a068aa7""",Employee Self Service,Attendance Request,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1
"""e8b108387f""",Employee,Compensatory Leave Request,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
"""4dea85038c""",HR Manager,Compensatory Leave Request,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
"""42e0aed72b""",HR User,Compensatory Leave Request,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1
"""8c6ba4a285""",System Manager,Compensatory Leave Request,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
"""b05d512f4f""",Employee Self Service,Compensatory Leave Request,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1
"""e9ab6d0112""",System Manager,Employee Tax Exemption Declaration,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"""dcfcaca81b""",Employee,Employee Tax Exemption Declaration,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"""2fffe61190""",HR Manager,Employee Tax Exemption Declaration,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"""cef4dd02aa""",HR User,Employee Tax Exemption Declaration,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"""428acf8621""",Employee Self Service,Employee Tax Exemption Declaration,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1
