name,item_code,item_group,short_name,stock_uom,variant_of,item_name,is_chronic,gst_hsn_code,is_nil_exempt,is_non_gst,requires_sample,is_item_from_hub,product_route,classification,sub_classification,vaccine_type,dosage,sub_preparation_type,additional_label_info,disabled,allow_alternative_item,is_stock_item,include_item_in_manufacturing,is_consignment,is_cssd_package,opening_stock,valuation_rate,standard_rate,is_fixed_asset,auto_create_assets,asset_category,item_barcode,asset_naming_series,over_delivery_receipt_allowance,over_billing_allowance,brand,description,shelf_life_in_days,end_of_life,default_material_request_type,valuation_method,warranty_period,weight_per_unit,weight_uom,has_batch_no,create_new_batch,batch_number_series,has_expiry_date,retain_sample,sample_quantity,has_serial_no,serial_no_series,has_variants,variant_based_on,is_purchase_item,purchase_uom,min_order_qty,safety_stock,lead_time_days,last_purchase_rate,is_customer_provided_item,customer,delivered_by_supplier,country_of_origin,customs_tariff_number,sales_uom,is_sales_item,grant_commission,max_discount,deferred_revenue_account,enable_deferred_revenue,no_of_months,deferred_expense_account,enable_deferred_expense,no_of_months_exp,quality_inspection_template,inspection_required_before_purchase,inspection_required_before_delivery,default_bom,is_sub_contracted_item,default_item_manufacturer,default_manufacturer_part_no,publish_in_hub,hub_category_to_publish,hub_warehouse,synced_with_hub,emergency_medication,published_in_website,display_name,generic_drug,product_type,~,name,alergy,~,name,barcode_type,~,name,warehouse,warehouse_reorder_level,material_request_type,warehouse_group,warehouse_reorder_qty,~,name,uom,conversion_factor,~,name,attribute,variant_of,attribute_value,numeric_values,from_range,increment,to_range,~,name,company,default_warehouse,default_price_list,default_discount_account,buying_cost_center,default_supplier,expense_account,selling_cost_center,income_account,~,name,supplier,supplier_part_no,~,name,ref_code,customer_name,customer_group,~,name,item_tax_template,tax_category,valid_from,minimum_net_rate,maximum_net_rate
"""COW2""",COW2,Granules & Powder,Granules & Powder,Tin,,COW AND GATE NUTRISTART 2 400G - PD,0,,0,0,0,0,Oral,UploadData,,,,Granules & Powder,0,0,0,1,1,0,0,0,0,1040,0,0,,,,0,0,,COW AND GATE NUTRISTART 2 400G - PD,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,COW AND GATE NUTRISTART 2 400G - PD,GERTIES-GEN GEN11319 - Follow-on formula 2(6 - 12 months),Granules & Powder,,,,,,,,,,,,,,,"""91e277afae""",Tin,1,,,,,,,,,,,"""c97271732a""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,Cost of Goods Sold - GCH,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""COW1""",COW1,Granules & Powder,Granules & Powder,Tin,,COW AND GATE NUTRISTART 1 400G - PD,0,,0,0,0,0,Oral,UploadData,,,,Granules & Powder,0,0,0,1,1,0,0,0,0,1040,0,0,,,,0,0,,COW AND GATE NUTRISTART 1 400G - PD,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,COW AND GATE NUTRISTART 1 400G - PD,GERTIES-GEN GEN11348 - Starter infant formula 1 (0 - 6 months),Granules & Powder,,,,,,,,,,,,,,,"""bc555a85f8""",Tin,1,,,,,,,,,,,"""663e01d218""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,Cost of Goods Sold - GCH,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""CIP7""",CIP7,Ear and Eye Drops and Ointment,Ear and Eye Drops and Ointment,Bottle,,CIPROBAY HC OTIC DROPS 10ML,0,,0,0,0,0,Ear Drop,UploadData,,,,Ear Drop,0,0,0,1,1,0,0,0,0,1400,0,0,,,,0,0,,CIPROBAY HC OTIC DROPS 10ML,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,CIPROBAY HC OTIC DROPS 10ML,GERTIES-GEN GEN0186 - Ciprofloxacin,Ear and Eye Drops and Ointment,,,,,,,,,,,,,,,"""b6e29c088e""",Bottle,1,,,,,,,,,,,"""bcbdb564d7""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,Cost of Goods Sold - GCH,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""GCH-DRG-4079-b""",GCH-DRG-4079-b,Drug,DRG,Nos,,Demo Pharmacy  Drug,0,,0,0,0,0,Oral,Analgesics,Opioid Analgesics,,,,,0,0,1,1,0,0,0,250,350,0,0,,,,0,0,,Demo Pharmacy  Drug,0,31-12-2099,Purchase,FIFO,,0,,1,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,315,0,,0,Kenya,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,Demo Pharmacy  Drug,ATC N02BE01 - paracetamol,Syrup,,,,,,,,,,,,,,,"""44a575b099""",Nos,1,,,,,,,,,,,"""0d130c5190""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,5002 - COGS Drugs Sales - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""ACU10""",ACU10,Ear and Eye Drops and Ointment,Ear and Eye Drops and Ointment,Bottle,,ACULAR EYE DROPS -PD,0,,0,0,0,0,Eye Drop,,,,,Eye Drop,0,0,0,1,1,0,0,0,0,1600,0,0,,,,0,0,,ACULAR EYE DROPS -PD,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,ACULAR EYE DROPS -PD,GERTIES-GEN GEN0461 - Ketorolac tromethamine,Ear and Eye Drops and Ointment,,,,,,,,,,,,,,,"""8da136c8c7""",Bottle,1,,,,,,,,,,,"""6e5f258ad4""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""ALF1""",ALF1,Granules & Powder,Granules & Powder,Tin,,ALFARE 400G - PD,0,,0,0,0,0,Oral,,,,,Granules & Powder,1,0,0,1,1,0,0,0,0,3675,0,0,,,,0,0,,ALFARE 400G - PD,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,ALFARE 400G - PD,GERTIES-GEN GEN11343 - Semi-elemental hypoallergenic infant formula,Granules & Powder,,,,,,,,,,,,,,,"""396a0ca44b""",Tin,1,,,,,,,,,,,"""e59b2d2472""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""ALL2""",ALL2,Ear and Eye Drops and Ointment,Ear and Eye Drops and Ointment,Bottle,,ALLERGO - COMOD EYE DROPS-PD,0,,0,0,0,0,Eye Drop,,,,,Eye Drop,1,0,0,1,1,0,0,0,0,1200,0,0,,,,0,0,,ALLERGO - COMOD EYE DROPS-PD,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,ALLERGO - COMOD EYE DROPS-PD,GERTIES-GEN GEN0223 - Cromoglycate,Ear and Eye Drops and Ointment,,,,,,,,,,,,,,,"""6ca8e8eee6""",Bottle,1,,,,,,,,,,,"""ed3874bcbc""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""ALP149720""",ALP149720,Granules & Powder,Granules & Powder,Tin,,ALPRO RICE MILK,0,,0,0,0,0,Oral,,,,,Granules & Powder,MAY CAUSE DROWSINESS.,0,0,1,1,0,0,0,0,650,0,0,,,,0,0,,ALPRO RICE MILK,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,ALPRO RICE MILK,GERTIES-GEN GEN0539 - Infant Formula for Minor Digestive Problems (Antiregurgitation),Granules & Powder,,,,,,,,,,,,,,,"""a253af5bd4""",Tin,1,,,,,,,,,,,"""2e80f7db94""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""ALP3""",ALP3,Ear and Eye Drops and Ointment,Ear and Eye Drops and Ointment,Bottle,,ALPHAGAN EYE DROPS - PD,0,,0,0,0,0,Eye Drop,,,,,Eye Drop,MAY CAUSE DROWSINESS.,0,0,1,1,0,0,0,0,2100,0,0,,,,0,0,,ALPHAGAN EYE DROPS - PD,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,ALPHAGAN EYE DROPS - PD,GERTIES-GEN GEN0115 - Brimonidine tartarate,Ear and Eye Drops and Ointment,,,,,,,,,,,,,,,"""5c7e58d837""",Bottle,1,,,,,,,,,,,"""c17ce277ac""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
"""APD439654""",APD439654,Ear and Eye Drops and Ointment,Ear and Eye Drops and Ointment,Bottle,,APDROPS EYE DROPS - PD,0,,0,0,0,0,Eye Drop,,,,,Eye Drop,0,0,0,1,1,0,0,0,0,600,0,0,,,,0,0,,APDROPS EYE DROPS - PD,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,APDROPS EYE DROPS - PD,GERTIES-GEN GEN0549 - Moxifloxacin,Ear and Eye Drops and Ointment,,,,,,,,,,,,,,,"""b02402e34d""",Bottle,1,,,,,,,,,,,"""8953ff3ce2""",Gertrudes Childrens Hospital,Muthaiga Pharmacy - GCH,Standard Selling,,Main - GCH,,4002 - Drug Income - GCH,Main - GCH,5002 - COGS Drugs Sales - GCH,,,,,,,,,,,,,,,,
