ID,Item Code,Item Group,Short Name,Default Unit of Measure,Variant Of,Item Name,Display Name,Generic Drug,Product Preparation,HSN/SAC,Is Nil Rated or Exempted,Is Non GST,Requires Sample,Is Item from Hub,Product Route,Classification,Sub Classification,Vaccine Type,Dosage,Sub Preparation Type,Additional Label Info,Disabled,Allow Alternative Item,Maintain Stock,Include Item In Manufacturing,Is Consignment,Is CSSD Package,Opening Stock,Valuation Rate,Standard Selling Rate,Is Fixed Asset,Auto Create Assets on Purchase,Asset Category,Item Barcode,Asset Naming Series,Over Delivery/Receipt Allowance (%),Over Billing Allowance (%),Brand,Description,Shelf Life In Days,End of Life,Default Material Request Type,Valuation Method,Warranty Period (in days),Weight Per Unit,Weight UOM,Has Batch No,Automatically Create New Batch,Batch Number Series,Has Expiry Date,Retain Sample,Max Sample Quantity,Has Serial No,Serial Number Series,Has Variants,Variant Based On,Is Purchase Item,Default Purchase Unit of Measure,Minimum Order Qty,Safety Stock,Lead Time in days,Last Purchase Rate,Is Customer Provided Item,Customer,Delivered by Supplier (Drop Ship),Country of Origin,Customs Tariff Number,Default Sales Unit of Measure,Is Sales Item,Grant Commission,Max Discount (%),Deferred Revenue Account,Enable Deferred Revenue,No of Months,Deferred Expense Account,Enable Deferred Expense,No of Months,Quality Inspection Template,Inspection Required before Purchase,Inspection Required before Delivery,Default BOM,Supply Raw Materials for Purchase,Default Item Manufacturer,Default Manufacturer Part No,Publish in Hub,Hub Category to Publish,Hub Warehouse,Synced With Hub,Emergency Medication,Published in Website,,ID,Alergy,,ID,Barcode Type,,ID,Request for,Re-order Level,Material Request Type,Check in (group),Re-order Qty,,ID,UOM,Conversion Factor,,ID,Attribute,Variant Of,Attribute Value,Numeric Values,From Range,Increment,To Range,,ID,Company,Default Warehouse,Default Price List,Default Discount Account,Default Buying Cost Center,Default Supplier,Default Expense Account,Default Selling Cost Center,Default Income Account,,ID,Supplier,Supplier Part Number,,ID,Ref Code,Customer Name,Customer Group,,ID,Item Tax Template,Tax Category,Valid From,Minimum Net Rate,Maximum Net Rate
"""AAR11-DEL""",AAR11-DEL,"Mixtures,syrups,suspension,oral drops",Msod,Bottle,,PARALIEF SUSPENSION 120MG/5ML,PARALIEF SUSPENSION 120MG/5ML,GERTIES-GEN GEN0607 - PARACETAMOL,"Mixtures,syrups,suspension,oral drops",,0,0,0,0,Oral,Anilides,,,,Suspension,,1,0,1,1,0,0,0,0,270,0,0,,,,0,0,,PARACETAMOL,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""f8f4dd999e""",Bottle,1,,,,,,,,,,,"""cff53f9888""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""OST2-DEL""",OST2-DEL,"Mixtures,syrups,suspension,oral drops",Msod,Bottle,,OSTEOCARE LIQUID 200ML-PD,OSTEOCARE LIQUID 200ML-PD,GERTIES-GEN GEN278734 - Calcium/Magnesium/Vitamin D/Zinc,"Mixtures,syrups,suspension,oral drops",,0,0,0,0,Oral,"Calcium, combinations with vitamin D and/or other drugs",,,,Suspension,,1,0,1,1,0,0,0,0,780,0,0,,,,0,0,,Calcium/Magnesium/Vitamin D/Zinc,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""bc040d82c4""",Bottle,1,,,,,,,,,,,"""1dbe877b95""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""ORB9682-DEL""",ORB9682-DEL,"Mixtures,syrups,suspension,oral drops",Msod,Bottle,,ORBIFEN SYRUP-100ML-PD,ORBIFEN SYRUP-100ML-PD,GERTIES-GEN GEN0418 - Ibuprofen,"Mixtures,syrups,suspension,oral drops",,0,0,0,0,Oral,Other cardiac preparations,,,,Suspension,,1,0,1,1,0,0,0,0,400,0,0,,,,0,0,,Ibuprofen,0,31-12-2099,Purchase,,,0,,1,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""d105f348e7""",Bottle,1,,,,,,,,,,,"""bbf9682afd""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""LUC1-DEL""",LUC1-DEL,"Ointment,creams,gels,paste,paint ,lotion",COGPL,Tube,,LUCIN OINT-PD,LUCIN OINT-PD,GERTIES-GEN GEN0401 - Hydrocortisone,"Ointment,creams,gels,paste,paint ,lotion",,0,0,0,0,Topical,Corticosteroids for local oral treatment,,,,Ointment,,1,0,1,1,0,0,0,0,70,0,0,,,,0,0,,Hydrocortisone,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""556ca0da4f""",Tube,1,,,,,,,,,,,"""09ca99b851""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""GRA2-DEL""",GRA2-DEL,Granules & Powder,Granules & Powder,Bottle,,GRABACIN POWDER,GRABACIN POWDER,GERTIES-GEN GEN01961 - GRABACIN,Granules & Powder,,0,0,0,0,Oral,Other antibiotics for topical use,,,,Granules & Powder,,1,0,1,1,0,0,0,0,120,0,0,,,,0,0,,GRABACIN,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""e03f1ece80""",Bottle,1,,,,,,,,,,,"""60cae5f27e""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""GAV375709-DEL""",GAV375709-DEL,"Mixtures,syrups,suspension,oral drops",Msod,Bottle,,GAVISCON DOUBLE ACTION SUSPENSION 150ML,GAVISCON DOUBLE ACTION SUSPENSION 150ML,GERTIES-GEN GEN02028 - GAVISCON,"Mixtures,syrups,suspension,oral drops",,0,0,0,0,Oral,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),,,,Suspension,,1,0,1,1,0,0,0,0,800,0,0,,,,0,0,,GAVISCON,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""65855f9988""",Bottle,1,,,,,,,,,,,"""e620fb5d2e""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""FML2-DEL""",FML2-DEL,Ear and Eye Drops and Ointment,Ear and Eye Drops and Ointment,Bottle,,FML NEO EYE DROPS-PD,FML NEO EYE DROPS-PD,GERTIES-GEN GEN0353 - Fluorometholone/Neomycin,Ear and Eye Drops and Ointment,,0,0,0,0,Eye Drop,Corticosteroids and antiinfectives in combination,,,,Eye Drop,,1,0,1,1,0,0,0,0,710,0,0,,,,0,0,,Fluorometholone/Neomycin,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""28051c0e25""",Bottle,1,,,,,,,,,,,"""6f85096981""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""EXO1-DEL""",EXO1-DEL,Ear and Eye Drops and Ointment,Ear and Eye Drops and Ointment,Bottle,,EXOCIN 0.3% EYE DROPS-PD,EXOCIN 0.3% EYE DROPS-PD,GERTIES-GEN GEN0586 - Ofloxacin,Ear and Eye Drops and Ointment,,0,0,0,0,Eye Drop,Fluoroquinolones,,,,Eye Drop,,1,0,1,1,0,0,0,0,870,0,0,,,,0,0,,Ofloxacin,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""72ac74084c""",Bottle,1,,,,,,,,,,,"""87108d9e78""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""BET4-DEL""",BET4-DEL,Solution,Solution,Bottle,,BETADINE M/GURGLE 250 ML-PD,BETADINE M/GURGLE 250 ML-PD,GERTIES-GEN GEN0436 - Iodine-Povidone,Solution,,0,0,0,0,Oral,Antiseptics,,,,Gargle,"GARGLE FOR THIRTY SECONDS AND SPIT OUT. DO NOT SWALLOW. IF GARGLED FOR LESS THAN 30 SECONDS, GARGLE AGAIN.",1,0,1,1,0,0,0,0,880,0,0,,,,0,0,,Iodine-Povidone,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""1ff373106b""",Bottle,1,,,,,,,,,,,"""2411bdab34""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
"""ATR10-DEL""",ATR10-DEL,Injection,Injection,Ampoule,,ATROPINE INJ 0.6MG,ATROPINE INJ 0.6MG,GERTIES-GEN GEN0073 - ATROPINE,Injection,,0,0,0,0,Intravenous,"Belladonna alkaloids, tertiary amines",,,,Injection,KEEP INSIDE THE CARTON TO PROTECT FROM LIGHT. USE AS DIRECTED.,1,0,1,1,0,0,0,0,450,0,0,,,,0,0,,ATROPINE,0,31-12-2099,Purchase,,,0,,0,0,,1,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,1,0,,0,0,,0,0,,0,0,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,"""9833a954af""",Ampoule,1,,,,,,,,,,,"""7712cb86c2""",Gertrudes Children Hospital,Pharmacy MSA - GCH,Standard Selling,,,,5002 - COGS Drugs Sales - GCH,Main - GCH,4002 - Drugs Income - GCH,,,,,,,,,,,,,,,,
