"DocType:","Generic Drug Name","","","","","","","","","","","","~","Generic Drug Formula Link","preparation","~","Generic Drug Route","route","~","Generic Drug UOM","drug_uom","","~","Generic Name Formulation","generic_name_formulation","","","","","","","","","","","~","Age Weight Band Details","ageweight_band","","","","","","","","","","","","","","","","","~","GCH Standard Guideline Detail","gch_standard_treatment_guideline_detail","","","","","","","~","GCH Standard Guideline Detail","diagnosis","","","","","",""
"Column Labels:","ID","Code","Generic Name","Main Category","Classification","Sub Classification","Is Triage Medication","Is Controlled Drug","Is High Alert","Emergency Medication","Kranium Code","Kranium Name","","ID","Generic Drug Formula","","ID","Drug Route","","ID","Preparation","UOM","","ID","Route","Preparation","Min Dose","Max Dose","UOM","Absolute Max","Frequency","Period Type","Min Duration","Max Duration","Label","","ID","Route","Preparation","A. Operation","Age","Type","W/A. Operation","W. Operation","Min Dose","Max Dose","UOM","Weight","Absolute Max","Frequency","Period","Min Duration","Max Duration","Label","","ID","Formula","Generic Drug Name","Medical code","Diagnosis","Code","Generic Drug","Description","","ID","Formula","Generic Drug Name","Medical code","Diagnosis","Code","Generic Drug","Description"
"Column Name:","name","code","generic_name","main_category","classification","sub_classification","is_triage_medication","is_controlled_drug","is_high_alert","emergency_medication","kranium_code","kranium_name","~","name","generic_drug_formula","~","name","drug_route","~","name","preparation","uom","~","name","route","preparation","minimum_dose","maximum_dose","uom","absolute_maximum","frequency","period_type","min_duration","max_duration","label","~","name","route","preparation","a_operation","age","type","wa_operation","w_operation","min_dose","max_dose","uom","weight","absolute_max","frequency","period","min_duration","max_duration","label","~","name","treatment_option","generic_drug_name","medical_code","standard_treatment","code","generic_drug","description","~","name","treatment_option","generic_drug_name","medical_code","standard_treatment","code","generic_drug","description"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","","Yes","Yes","","Yes","Yes","","Yes","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No"
"Type:","Data","Link","Data","Link","Select","Select","Check","Check","Check","Check","Data","Data","","Data","Link","","Data","Link","","Data","Link","Link","","Data","Link","Link","Float","Float","Link","Float","Int","Select","Int","Int","Data","","Data","Link","Link","Select","Data","Select","Select","Select","Data","Data","Link","Data","Data","Int","Select","Int","Int","Data","","Data","Link","Data","Link","Link","Data","Link","Data","","Data","Link","Data","Link","Link","Data","Link","Data"
"Info:","","Valid Medical Code","","Valid Generic Main Category","","","0 or 1","0 or 1","0 or 1","0 or 1","","","","","Valid Drug Formula","","","Valid Drug Route","","","Valid Drug Formula","Valid UOM","","","Valid Drug Route","Valid Drug Formula","","","Valid UOM","","Integer","One of: Hours, Days, Weeks","Integer","Integer","","","","Valid Drug Route","Valid Drug Formula","One of: Equal to, Less than, Less than or equal to, Greater than, Greater than or equal to","","One of: Days, Weeks, Months, Years","One of: Or, And","One of: Equal to, Less than, Less than or equal to, Greater than, Greater than or equal to","","","Valid UOM","","","Integer","One of: Day, Week, Month, Year","Integer","Integer","","","","Valid Drug Formula","","Valid Medical Code","Valid GCH Standard Treatment Guideline","","Valid Generic Drug Name","","","","Valid Drug Formula","","Valid Medical Code","Valid GCH Standard Treatment Guideline","","Valid Generic Drug Name",""
"Start entering data below this line"
"","""ATC B01AC13 - abciximab""","ATC B01AC13","abciximab","UploadData","UploadData","",0,0,0,0,"GEN33333","ABCIXIMAB","","""97846c8d67""","UploadData","","""62f5399cd4""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N05CF01 - zopiclone""","ATC N05CF01","zopiclone","UploadData","UploadData","",0,0,0,0,"GEN0847","Zopiclone","","""6a455777da""","UploadData","","""2c1bf9dc1f""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J05AF01 - zidovudine""","ATC J05AF01","zidovudine","UploadData","UploadData","",0,0,0,0,"GEN0839","Zidovudine","","""76b6111bc3""","UploadData","","""214984783a""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC R01AA07 - xylometazoline""","ATC R01AA07","xylometazoline","UploadData","UploadData","",0,0,0,0,"GEN0837","Xylometazoline","","""a1e2e3e6f5""","UploadData","","""6b531c8cb6""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC B01AA03 - warfarin""","ATC B01AA03","warfarin","UploadData","UploadData","",0,0,0,0,"GEN0834","Warfarin","","""30e4ba1267""","UploadData","","""8cd3029e95""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC B02BA - Vitamin K""","ATC B02BA","Vitamin K","UploadData","UploadData","",0,0,0,0,"GEN0832","Vitamin K","","""0c0d6d8d9c""","UploadData","","""cb168e4d10""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC L01CA02 - vincristine""","ATC L01CA02","vincristine","UploadData","UploadData","",0,0,0,0,"GEN0822","VinCRIStine","","""b8b96b3262""","UploadData","","""0e7ddd835e""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C04AX07 - vincamine""","ATC C04AX07","vincamine","UploadData","UploadData","",0,0,0,0,"GEN0821","Vincamine","","""efbf08adfc""","UploadData","","""a996e390bb""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC L01CA01 - vinblastine""","ATC L01CA01","vinblastine","UploadData","UploadData","",0,0,0,0,"GEN0820","VinBLAStine","","""5d700f051b""","UploadData","","""28516c95ed""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C08DA01 - verapamil""","ATC C08DA01","verapamil","UploadData","UploadData","",0,0,0,0,"GEN0817","Verapamil","","""87d9435dd0""","UploadData","","""c1a4f1a625""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A07AA09 - vancomycin""","ATC A07AA09","vancomycin","UploadData","UploadData","",0,0,0,0,"GEN0816","Vancomycin","","""7cd3633e18""","UploadData","","""e82e79582e""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A05AA02 - ursodeoxycholic acid""","ATC A05AA02","ursodeoxycholic acid","UploadData","UploadData","",0,0,0,0,"GEN0796","Ursodeoxycholic acid","","""e033d5d3b4""","UploadData","","""b4b281a579""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A04AA03 - tropisetron""","ATC A04AA03","tropisetron","UploadData","UploadData","",0,0,0,0,"GEN0792","Tropisetron","","""1a16e3469d""","UploadData","","""7b23195c33""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC S01FA06 - tropicamide""","ATC S01FA06","tropicamide","UploadData","UploadData","",0,0,0,0,"GEN0791","Tropicamide","","""ecb3bf5ad5""","UploadData","","""d12df9d1e7""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J01EA01 - trimethoprim""","ATC J01EA01","trimethoprim","UploadData","UploadData","",0,0,0,0,"GEN0789","Trimethoprim","","""775f40a7b5""","UploadData","","""277e341528""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C01EB15 - trimetazidine""","ATC C01EB15","trimetazidine","UploadData","UploadData","",0,0,0,0,"GEN0788","Trimetazidine","","""e65fa00d60""","UploadData","","""d44c516b9d""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D08AE04 - triclosan""","ATC D08AE04","triclosan","UploadData","UploadData","",0,0,0,0,"GEN0787","Triclosan","","""d4732a7518""","UploadData","","""18ae904324""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A01AC01 - triamcinolone""","ATC A01AC01","triamcinolone","UploadData","UploadData","",0,0,0,0,"GEN0786","Triamcinolone","","""d7e42749f3""","UploadData","","""51ad5b6d63""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D10AD01 - tretinoin""","ATC D10AD01","tretinoin","UploadData","UploadData","",0,0,0,0,"GEN0785","Tretinoin","","""a1321ec4b3""","UploadData","","""8785100bfb""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC B02AA02 - tranexamic acid""","ATC B02AA02","tranexamic acid","UploadData","UploadData","",0,0,0,0,"GEN0784","Tranexamic Acid","","""ef1235af8d""","UploadData","","""acbc277649""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N02AX02 - tramadol""","ATC N02AX02","tramadol","UploadData","UploadData","",0,0,0,0,"GEN0783","Tramadol","","""ff9bc5270b""","UploadData","","""00eb7a29ed""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N03AX11 - topiramate""","ATC N03AX11","topiramate","UploadData","UploadData","",0,0,0,0,"GEN0781","Topiramate","","""f9cad0fe7f""","UploadData","","""e75028f6f1""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC G04BD07 - tolterodine""","ATC G04BD07","tolterodine","UploadData","UploadData","",0,0,0,0,"GEN0779","Tolterodine","","""f8a03ea6de""","UploadData","","""49398fb3ab""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D01AE18 - tolnaftate""","ATC D01AE18","tolnaftate","UploadData","UploadData","",0,0,0,0,"GEN0778","Tolnaftate","","""519ae94116""","UploadData","","""3f589acf9b""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J01GB01 - tobramycin""","ATC J01GB01","tobramycin","UploadData","UploadData","",0,0,0,0,"GEN0777","Tobramycin","","""273bf747aa""","UploadData","","""9c28a2241a""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J01XD02 - tinidazole""","ATC J01XD02","tinidazole","UploadData","UploadData","",0,0,0,0,"GEN0775","Tinidazole","","""8257dd2a65""","UploadData","","""8bb36503f2""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C07AA06 - timolol""","ATC C07AA06","timolol","UploadData","UploadData","",0,0,0,0,"GEN0774","Timolol","","""3e661ce29d""","UploadData","","""0d31248882""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A16AX01 - thioctic acid""","ATC A16AX01","thioctic acid","UploadData","UploadData","",0,0,0,0,"GEN0770","Thioctic acid","","""b09cdf754d""","UploadData","","""34d185a5b6""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A01AB13 - tetracycline""","ATC A01AB13","tetracycline","UploadData","UploadData","",0,0,0,0,"GEN0767","Tetracycline","","""2445814f6c""","UploadData","","""5a3b3113dc""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC G03BA03 - testosterone""","ATC G03BA03","testosterone","UploadData","UploadData","",0,0,0,0,"GEN0766","Testosterone","","""eed659a31f""","UploadData","","""3cf2df99f9""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D01AE15 - terbinafine""","ATC D01AE15","terbinafine","UploadData","UploadData","",0,0,0,0,"GEN0765","Terbinafine","","""b742c48ea7""","UploadData","","""470809307b""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C09CA07 - telmisartan""","ATC C09CA07","telmisartan","UploadData","UploadData","",0,0,0,0,"GEN0763","Telmisartan","","""2164836577""","UploadData","","""74025eb85d""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J01XA02 - teicoplanin""","ATC J01XA02","teicoplanin","UploadData","UploadData","",0,0,0,0,"GEN0761","Teicoplanin","","""61f86f4ffb""","UploadData","","""ce29a29731""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC L02BA01 - tamoxifen""","ATC L02BA01","tamoxifen","UploadData","UploadData","",0,0,0,0,"GEN0760","Tamoxifen","","""3e22c796c5""","UploadData","","""a7a94e6080""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D11AH01 - tacrolimus""","ATC D11AH01","tacrolimus","UploadData","UploadData","",0,0,0,0,"GEN0759","Tacrolimus","","""8191ab3c76""","UploadData","","""3c6a1463e7""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC M03AB01 - suxamethonium""","ATC M03AB01","suxamethonium","UploadData","UploadData","",0,0,0,0,"GEN0757","Suxamethonium","","""eb010a5ab9""","UploadData","","""01750bbf77""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N02CC01 - sumatriptan""","ATC N02CC01","sumatriptan","UploadData","UploadData","",0,0,0,0,"GEN0754","Sumatriptan","","""de42f296a9""","UploadData","","""969f5db03b""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A07EC01 - sulfasalazine""","ATC A07EC01","sulfasalazine","UploadData","UploadData","",0,0,0,0,"GEN0748","Sulfasalazine","","""200fb980bf""","UploadData","","""31a783310b""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A11DA02 - sulbutiamine""","ATC A11DA02","sulbutiamine","UploadData","UploadData","",0,0,0,0,"GEN0747","Sulbutiamine","","""83b32917a4""","UploadData","","""9435c93796""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC M05BX03 - strontium ranelate""","ATC M05BX03","strontium ranelate","UploadData","UploadData","",0,0,0,0,"GEN0744","Strontium ranelate","","""7ef8dd1166""","UploadData","","""4328dff96b""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A07AA04 - streptomycin""","ATC A07AA04","streptomycin","UploadData","UploadData","",0,0,0,0,"GEN0742","Streptomycin","","""28a50a0350""","UploadData","","""d1d971c6d2""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C03DA01 - spironolactone""","ATC C03DA01","spironolactone","UploadData","UploadData","",0,0,0,0,"GEN0737","Spironolactone","","""ff468e9d91""","UploadData","","""96432a8666""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J01MA09 - sparfloxacin""","ATC J01MA09","sparfloxacin","UploadData","UploadData","",0,0,0,0,"GEN0736","Sparfloxacin","","""865096c8fd""","UploadData","","""d8ba042353""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC H01AC01 - somatropin""","ATC H01AC01","somatropin","UploadData","UploadData","",0,0,0,0,"GEN0732","Somatropin","","""f021acc260""","UploadData","","""43a4fcb9f0""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC P01CB02 - sodium stibogluconate""","ATC P01CB02","sodium stibogluconate","UploadData","UploadData","",0,0,0,0,"GEN0730","Sodium stibogluconate","","""a38ad0ad2a""","UploadData","","""ba52a16a5c""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A12CA01 - sodium chloride""","ATC A12CA01","sodium chloride","UploadData","UploadData","",0,0,0,0,"GEN0721","Sodium chloride","","""31859b425f""","UploadData","","""e1e9cdb5b3""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC B05CB04 - sodium bicarbonate""","ATC B05CB04","sodium bicarbonate","UploadData","UploadData","",0,0,0,0,"GEN0718","Sodium Bicarbonate","","""6f13559968""","UploadData","","""c2b58c6448""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C10AA01 - simvastatin""","ATC C10AA01","simvastatin","UploadData","UploadData","",0,0,0,0,"GEN0712","Simvastatin","","""c04a0880fe""","UploadData","","""04c46602ea""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A05BA03 - silymarin""","ATC A05BA03","silymarin","UploadData","UploadData","",0,0,0,0,"GEN0710","Silymarin","","""56485c42bc""","UploadData","","""d3d8bd379f""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D08AL01 - silver nitrate""","ATC D08AL01","silver nitrate","UploadData","UploadData","",0,0,0,0,"GEN0708","Silver nitrate","","""892989154e""","UploadData","","""a006dc3427""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC G04BE03 - sildenafil""","ATC G04BE03","sildenafil","UploadData","UploadData","",0,0,0,0,"GEN0707","Sildenafil","","""134b6ab2ab""","UploadData","","""8fe57a0c72""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N06AB06 - sertraline""","ATC N06AB06","sertraline","UploadData","UploadData","",0,0,0,0,"GEN0706","Sertraline","","""1df5ee7b95""","UploadData","","""832341d544""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC P01AB07 - secnidazole""","ATC P01AB07","secnidazole","UploadData","UploadData","",0,0,0,0,"GEN0700","Secnidazole","","""361b588f50""","UploadData","","""5e0b2c6980""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC R03AC12 - salmeterol""","ATC R03AC12","salmeterol","UploadData","UploadData","",0,0,0,0,"GEN0695","Salmeterol","","""7284383db9""","UploadData","","""b5b1b87f82""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC R03AC02 - salbutamol""","ATC R03AC02","salbutamol","UploadData","UploadData","",0,0,0,0,"GEN0689","Salbutamol","","""856196a4f1""","UploadData","","""ab4f05c774""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A07FA02 - saccharomyces boulardii""","ATC A07FA02","saccharomyces boulardii","UploadData","UploadData","",0,0,0,0,"GEN0688","Saccharomyces boulardii","","""70c81c3d91""","UploadData","","""76841cbaab""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J01FA06 - roxithromycin""","ATC J01FA06","roxithromycin","UploadData","UploadData","",0,0,0,0,"GEN0687","Roxithromycin","","""61fb0ec86f""","UploadData","","""a3144565f8""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C10AA07 - rosuvastatin""","ATC C10AA07","rosuvastatin","UploadData","UploadData","",0,0,0,0,"GEN0686","Rosuvastatin","","""eaef60573a""","UploadData","","""a38eb109d2""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N02CC04 - rizatriptan""","ATC N02CC04","rizatriptan","UploadData","UploadData","",0,0,0,0,"GEN0684","Rizatriptan","","""f57cbbf85e""","UploadData","","""603105ef41""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J05AE03 - ritonavir""","ATC J05AE03","ritonavir","UploadData","UploadData","",0,0,0,0,"GEN0683","ritonavir","","""5f09c6b12f""","UploadData","","""39514fdc68""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N05AX08 - risperidone""","ATC N05AX08","risperidone","UploadData","UploadData","",0,0,0,0,"GEN0682","Risperidone","","""51574d1f80""","UploadData","","""0017ae195a""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J04AB02 - rifampicin""","ATC J04AB02","rifampicin","UploadData","UploadData","",0,0,0,0,"GEN0675","Rifampicin","","""799b63e8a5""","UploadData","","""ce84188e91""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N01AH06 - remifentanil""","ATC N01AH06","remifentanil","UploadData","UploadData","",0,0,0,0,"GEN0673","Remifentanil","","""89a94ab7ce""","UploadData","","""db62760459""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A02BA02 - ranitidine""","ATC A02BA02","ranitidine","UploadData","UploadData","",0,0,0,0,"GEN0672","Ranitidine","","""341d3b10df""","UploadData","","""5d95694a59""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C09AA05 - ramipril""","ATC C09AA05","ramipril","UploadData","UploadData","",0,0,0,0,"GEN0671","Ramipril","","""25c1e577d1""","UploadData","","""6e9088b7a3""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J05AJ01 - raltegravir""","ATC J05AJ01","raltegravir","UploadData","UploadData","",0,0,0,0,"GEN0670","Raltegravir","","""f621adc3bd""","UploadData","","""08ec63163f""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A02BC04 - rabeprazole""","ATC A02BC04","rabeprazole","UploadData","UploadData","",0,0,0,0,"GEN0669","Rabeprazole","","""9730112644""","UploadData","","""ab8e1373c9""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N06BX02 - pyritinol""","ATC N06BX02","pyritinol","UploadData","UploadData","",0,0,0,0,"GEN0665","Pyritinol","","""f37acee6a5""","UploadData","","""06fd042acf""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N07AA02 - pyridostigmine""","ATC N07AA02","pyridostigmine","UploadData","UploadData","",0,0,0,0,"GEN0663","Pyridostigmine","","""b88f344a0a""","UploadData","","""d6d7522ef4""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J04AK01 - pyrazinamide""","ATC J04AK01","pyrazinamide","UploadData","UploadData","",0,0,0,0,"GEN0662","Pyrazinamide","","""9db0093cbd""","UploadData","","""22bbf2b717""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C07AA05 - propranolol""","ATC C07AA05","propranolol","UploadData","UploadData","",0,0,0,0,"GEN0660","Propranolol","","""25659b032f""","UploadData","","""83afeafd3f""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N01AX10 - propofol""","ATC N01AX10","propofol","UploadData","UploadData","",0,0,0,0,"GEN0659","Propofol","","""9a387feb26""","UploadData","","""7aa7e5fd8a""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D04AA10 - promethazine""","ATC D04AA10","promethazine","UploadData","UploadData","",0,0,0,0,"GEN0658","Promethazine","","""91f855d698""","UploadData","","""d3840f87b4""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC P01BB01 - proguanil""","ATC P01BB01","proguanil","UploadData","UploadData","",0,0,0,0,"GEN0656","Proguanil","","""8d7f2721f8""","UploadData","","""43407374a4""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC G03DA04 - progesterone""","ATC G03DA04","progesterone","UploadData","UploadData","",0,0,0,0,"GEN0655","Progesterone","","""496436deb6""","UploadData","","""1469150336""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC M04AB01 - probenecid""","ATC M04AB01","probenecid","UploadData","UploadData","",0,0,0,0,"GEN0653","Probenecid","","""6a843dfe6f""","UploadData","","""64879ea06a""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N03AX16 - pregabalin""","ATC N03AX16","pregabalin","UploadData","UploadData","",0,0,0,0,"GEN0652","Pregabalin","","""a914595c63""","UploadData","","""2c8ce7cec6""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A07EA03 - prednisone""","ATC A07EA03","prednisone","UploadData","UploadData","",0,0,0,0,"GEN0651","PredniSONE","","""1060848f9d""","UploadData","","""5ac6e125fe""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A07EA01 - prednisolone""","ATC A07EA01","prednisolone","UploadData","UploadData","",0,0,0,0,"GEN0649","PrednisoLONE","","""48d6f97644""","UploadData","","""0779bcbb55""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
